director,country
Akerman; Chantal,Belgium
Allen; Woody,United States
Amelio; Gianni,Italy
Amenabar; Alejandro,Chile
Anderson; Paul Thomas,United States
Anderson; Wes,United States
Antonioni; Michelangelo,Italy
Ardolino; Emile,United States
Argento; Dario,Italy
Aronofsky; Darren,United States
Avildsen; John,United States
Bellocchio; Marco,Italy
Benigni; Roberto,Italy
Beresford; Bruce,Australia
Bergman; Ingmar,Sweden
Bertolucci; Bernardo,Italy
Besson; Luc,France
Borowzyk; Walerian,Poland
Boyle; Danny,United Kingdom
Bragaglia; Carlo Ludovico,Italy
Bresson; Robert,France
Brest; Martin,United States
Buñuel; Luis,Spain
Cassavetes; John,United States
Chytilová; Věra,Czech Republic
Cimimo; Michael,United States
Coen; Ethan,United States
Coen; Joel,United States
Columbus; Chris,United States
Coppola; Francis Ford,United States
Coppola; Sofia,United States
Curtiz; Michael,Hungary
D'Amore; Marco,Italy
De Crescenzo; Luciano,Italy
De Palma; Brian,United States
De Sica; Vittorio,Italy
Eastwood; Clint,United States
Eizenštejn; Sergej,Russia
Fassbinder; Rainer Werner,Germany
Fellini; Federico,Italy
Ferrara; Giuseppe,Italy
Fincher; David,United States
Fleming; Victor,United States
Ford; Aleksander,Poland
Forman; Miloš,Czech Republic
Friedkin; William,United States
Genovese; Paolo,Italy
George; Terry,United Kingdom
Gilliam; Terry,United States
Gilroy; Dan,United States
Godard; Jean-Luc,France
Goddard; Drew,United States
Gondry; Michel,France
Hallström; Lasse,Sweden
Hamaguchi; Ryūsuke,Japan
Harron; Mary,Canada
Has; Wojciech,Poland
Henckel; Florian,Germany
Hicks; Scott,United Kingdom
Hill; George Roy,United States
Hitchcock; Alfred,United Kingdom
Hook; Harry,United Kingdom
Jackson; Peter,New Zealand
Jenkins; Barry,United States
Jeunet; Jean Pierre,France
Jodorowsky; Alejandro,Chile
Jonze; Spike,United States
Kalatozov; Michail,Russia
Kassovitz; Mathieu,France
Kawalerowicz; Jerzy,Poland
Kaye; Tony,United Kingdom
Kazan; Elia,United States
Keaton; Buster,United States
Kelly; Richard,United States
Kheiron,France
Kieślowski; Krzysztof,Poland
Konwicki; Tadeusz,Poland
Korine; Harmony,United States
Kubrick; Stanley,United States
Lamorisse; Albert,France
Lang; Fritz,Germany
Lanthimos; Yorgos,Greece
Lean; David,United Kingdom
Leone; Sergio,Italy
Levinson; Barry,United States
Loden; Barbara,United States
Lokšin; Michail,Russia
Lopušanskij; Konstantin,Russia
Loy; Nanni,Italy
Lund; Katia,Brazil
Mainetti; Gabriele,Italy
Majewski; Janusz,Poland
Makavejev; Dušan,Serbia
Malick; Terrence,United States
Mankiewicz; Joseph,United States
Mann; Michael,United States
Marshall; Penny,United States
McKay; Adam,United States
Meirelles; Fernando,Brazil
Mendes; Sam,United Kingdom
Meyer; Nicholas,United States
Miyazaki; Hayao,Japan
Monicelli; Mario,Italy
Montaldo; Giuliano,Italy
Morgenstern; Janusz,Poland
Nasfeter; Janusz,Poland
Nichols; Mike,United States
Nolan; Christopher,United Kingdom
Parker; Alan,United Kingdom
Pasolini; Pier Paolo,Italy
Peckinpah; Sam,United States
Penn; Sean,United States
Petri; Elio,Italy
Phillips; Todd,United States
Pialat; Maurice,France
Polanski; Roman,Poland
Radford; Michael,United Kingdom
Ramis; Harold,United States
Ray; Nicholas,United States
Resnais; Alain,France
Risi; Dino,Italy
Robbe-Grillet; Alain,France
Robinson; Phil Alden,United States
Rohmer; Éric,France
Rosi; Francesco,Italy
Rossen; Robert,United States
Rozier; Jacques,France
Różewicz; Stanisław,Poland
Salvadori; Pierre,France
Salvatores; Gabriele,Italy
Scola; Ettore,Italy
Scorsese; Martin,United States
Scott; Ridley,United Kingdom
Sembène; Ousmane,Senegal
Serreau; Coline,France
Sheridan; Jim,Ireland
Sheridan; Taylor,United States
Shyamalan; M. Night,India
Silberling; Brad,United States
Singer; Bryan,United States
Skolimowski; Jerzy,Poland
Smith; George Albert,United Kingdom
Sorrentino; Paolo,Italy
Spielberg; Steven,United States
Tarantino; Quentin,United States
Tarkovskij; Andrej,Russia
Tarr; Béla,Hungary
Tornatore; Giuseppe,Italy
Triet; Justine,France
Troisi; Massimo,Italy
Truffaut; François,France
Tsai; Ming-liang,Taiwan
Vallée; Jean Marc,Canada
Varda; Agnès,France
Vertov; Dziga,Russia
Visconti; Luchino,Italy
Wachowski; Andy,United States
Wachowski; Larry,United States
Wajda; Andrzej,Poland
Weir; Peter,Australia
Welles; Orson,United States
Wenders; Wim,Germany
Wertmüller; Lina,Italy
Wilder; Billy,United States
Wise; Robert,United States
Wright; Joe,United Kingdom
Wyler; William,United States
Zalone; Checco,Italy
Załuski; Roman,Poland
Zemeckis; Robert,United States
Zucker; Jerry,United States